account_tenure_days,customer_age,kyc_verified,is_vip_tier,num_deposit_methods_used,num_withdrawal_methods_used,deposit_count_30d,withdrawal_count_30d,total_deposit_amount_30d,total_withdrawal_amount_30d,avg_bet_size,num_devices_used_30d,num_distinct_ip_countries_30d,pct_deposits_near_reporting_threshold,median_hours_deposit_to_withdrawal,cross_border_payment_flag,night_time_transaction_pct,is_suspicious_activity
287,51,1,0,5,1,8,2,29.79,17.3,7.59,5,1,0.118,75.9,0,0.145,1
253,38,1,0,4,1,12,5,162.01,8.93,9.35,5,1,0.021,69.8,0,0.203,0
834,31,1,0,6,1,10,0,1741.63,1082.9,10.41,2,1,0.08,34.0,0,0.35,0
154,42,1,0,1,2,3,5,254.91,80.06,10.6,1,1,0.117,63.1,0,0.394,0
1541,29,1,0,1,1,8,3,619.44,422.91,39.62,3,1,0.049,52.4,0,0.059,0
285,22,1,0,3,3,9,3,523.64,246.2,6.28,3,1,0.203,33.8,0,0.353,0
32,40,1,0,1,3,7,2,172.58,65.31,42.5,5,1,0.324,6.8,0,0.662,0
38,32,1,0,1,2,6,4,151.42,33.51,11.76,3,1,0.295,57.8,0,0.111,0
690,38,1,0,2,1,10,6,587.99,77.8,10.19,2,1,0.168,25.2,0,0.243,0
581,18,1,0,3,2,14,4,40.9,32.58,7.65,4,1,0.184,15.7,0,0.408,0
481,27,1,0,2,1,5,5,160.66,53.06,13.47,2,1,0.311,18.2,0,0.281,0
36,37,1,0,2,1,7,6,638.11,193.11,38.96,1,2,0.217,20.7,0,0.013,0
404,20,1,0,1,1,11,2,92.5,60.47,37.43,3,1,0.181,18.5,0,0.101,0
2210,20,1,1,1,3,5,2,447.59,253.7,8.64,1,3,0.038,64.2,0,0.135,0
574,38,1,1,2,2,8,12,248.01,46.21,20.53,2,1,0.07,29.5,0,0.251,0
115,46,1,0,4,1,11,7,17.23,9.31,7.23,2,1,0.049,61.6,0,0.105,0
598,27,1,0,1,1,9,4,694.48,559.4,13.92,2,2,0.289,71.4,0,0.202,0
28,35,1,0,2,3,9,0,1503.82,1312.27,24.79,1,1,0.007,41.0,0,0.136,0
146,35,1,0,3,2,8,3,154.61,20.15,10.91,3,1,0.175,31.0,0,0.598,0
954,19,1,0,4,1,2,5,118.78,51.26,77.01,1,1,0.311,56.9,0,0.294,0
619,52,1,0,3,1,6,1,752.34,331.12,16.91,2,1,0.236,33.2,0,0.163,0
601,36,1,0,1,4,16,4,342.62,137.91,5.89,1,1,0.117,2.0,0,0.701,1
422,36,1,0,5,1,9,1,67.06,32.83,79.89,1,1,0.016,63.8,0,0.466,0
811,42,1,0,3,1,10,4,131.14,15.83,12.63,5,1,0.089,61.6,0,0.254,0
137,19,0,0,1,3,10,5,546.39,159.74,25.92,1,1,0.089,96.4,0,0.261,0
1105,49,0,0,4,2,7,3,314.59,193.62,4.56,1,1,0.219,49.9,0,0.278,0
621,51,1,0,2,1,9,1,176.24,97.08,13.35,1,1,0.382,153.2,0,0.333,0
35,40,1,0,2,2,6,3,97.76,74.36,6.94,1,1,0.121,38.0,0,0.395,0
671,44,0,0,1,2,4,0,121.78,63.57,14.33,4,1,0.372,35.1,0,0.133,0
335,34,1,0,2,2,10,1,191.77,96.38,100.26,1,2,0.015,7.8,0,0.448,0
327,48,1,0,1,1,6,3,487.35,165.99,35.89,2,2,0.004,65.3,0,0.101,0
681,28,1,0,2,2,7,1,279.16,135.41,7.23,2,1,0.311,41.8,1,0.329,0
178,38,1,0,2,2,3,6,185.7,118.5,9.19,3,2,0.054,56.3,0,0.267,0
32,38,1,0,2,3,3,4,208.53,104.96,10.96,1,1,0.052,27.1,0,0.097,0
1296,38,1,0,1,2,12,5,276.99,36.32,5.9,2,2,0.014,31.0,0,0.164,0
1296,51,1,1,2,2,9,0,173.21,117.23,32.88,1,1,0.066,27.9,0,0.117,0
597,64,1,0,1,2,6,5,181.34,49.74,18.83,1,1,0.09,36.9,0,0.136,0
617,37,0,0,4,1,6,4,245.98,231.44,31.99,1,1,0.264,53.7,0,0.274,0
647,44,0,0,1,2,6,7,391.29,163.65,5.14,2,1,0.066,40.4,0,0.195,0
1970,28,1,0,3,1,8,5,195.47,135.96,19.91,1,1,0.256,39.7,0,0.239,0
36,50,0,0,2,1,10,5,46.31,13.1,7.17,1,1,0.026,33.7,0,0.308,0
21,32,1,0,2,1,7,5,500.58,165.58,44.2,4,2,0.02,45.6,0,0.113,0
127,76,1,0,3,1,11,5,109.12,60.75,49.88,3,1,0.158,51.1,0,0.021,0
361,18,1,0,3,1,12,4,199.97,35.56,14.35,1,2,0.181,34.3,0,0.12,0
575,64,1,0,1,1,9,6,182.46,86.53,21.09,4,2,0.099,50.6,0,0.157,0
294,50,1,0,5,4,6,5,419.58,225.54,13.13,3,1,0.167,16.5,0,0.381,0
447,25,0,0,4,2,7,3,340.81,225.04,7.11,2,1,0.317,49.5,0,0.145,0
239,66,1,0,3,1,12,5,155.81,47.63,161.42,2,1,0.012,49.7,0,0.329,0
257,27,0,0,1,4,11,7,598.0,392.23,18.95,2,2,0.315,44.5,1,0.048,0
184,34,1,0,2,3,7,4,394.81,184.54,18.88,3,2,0.149,25.0,0,0.384,0
373,22,1,0,1,2,16,9,202.67,62.93,77.35,2,3,0.02,9.6,0,0.125,0
53,36,1,0,1,4,6,1,141.64,62.68,30.87,3,1,0.057,40.9,0,0.123,0
34,37,1,0,3,1,6,4,417.2,11.03,43.77,3,1,0.002,41.9,0,0.063,0
277,48,0,0,2,1,9,6,563.05,324.9,22.77,2,1,0.195,12.3,0,0.41,0
175,67,1,0,1,3,7,9,754.34,460.44,35.26,1,1,0.032,25.7,0,0.308,0
177,32,1,0,2,3,11,2,92.63,42.73,25.81,4,1,0.095,50.7,0,0.187,0
927,18,1,0,3,2,11,1,235.06,58.98,41.18,4,1,0.053,18.7,0,0.057,0
2209,46,1,0,2,1,11,1,797.31,483.78,11.85,2,2,0.307,59.9,0,0.104,0
384,31,1,0,1,1,4,3,283.65,137.05,45.57,4,1,0.064,29.6,0,0.208,0
69,60,1,0,1,4,6,4,102.66,42.55,17.09,1,1,0.088,21.7,0,0.444,0
613,38,1,0,1,1,11,2,248.58,67.29,22.26,1,1,0.044,26.3,0,0.207,0
328,29,1,0,2,2,12,6,125.7,62.6,20.13,2,2,0.288,107.6,0,0.253,0
569,26,1,0,2,2,5,3,167.43,70.3,18.15,3,2,0.182,48.3,0,0.071,0
402,45,1,1,3,2,15,5,698.29,311.16,51.47,2,1,0.078,130.0,0,0.16,0
47,35,1,0,1,1,8,4,3277.33,1614.49,10.98,5,1,0.109,79.7,0,0.242,0
424,56,1,0,2,2,7,4,147.49,23.1,12.87,3,2,0.31,61.1,0,0.39,0
414,35,0,0,2,1,3,2,68.41,12.93,7.89,2,2,0.365,75.7,0,0.137,0
1450,55,1,1,4,3,6,5,79.06,25.08,33.49,2,1,0.082,46.9,0,0.463,0
958,21,1,1,2,3,4,7,209.44,45.69,46.3,5,1,0.192,45.4,0,0.135,0
1740,18,1,0,2,1,4,5,625.05,212.82,9.78,1,1,0.176,61.8,0,0.393,0
1142,48,1,0,3,3,6,2,197.84,73.45,10.3,2,1,0.54,23.3,0,0.08,0
49,32,1,0,2,2,8,3,826.2,418.17,6.36,4,2,0.204,29.2,0,0.048,0
26,35,0,0,2,1,9,2,300.58,97.39,22.72,3,1,0.203,29.5,0,0.214,0
836,26,1,0,4,1,7,1,343.63,84.92,3.83,2,1,0.236,86.3,0,0.113,0
609,25,1,0,1,1,6,3,279.56,129.02,28.48,3,1,0.195,45.6,0,0.237,0
39,46,1,0,4,5,11,3,62.78,26.94,37.96,3,1,0.225,25.6,0,0.093,0
57,38,1,0,2,3,8,1,107.0,70.9,15.35,2,1,0.025,5.9,0,0.148,0
506,25,1,0,3,2,3,3,283.28,226.63,10.16,1,1,0.06,67.9,0,0.269,0
238,47,1,0,3,2,8,1,162.59,131.31,30.92,3,1,0.103,28.5,0,0.181,0
544,52,0,0,1,2,6,6,388.36,229.28,8.36,3,1,0.224,18.2,0,0.149,0
172,37,1,0,2,2,7,3,179.61,120.64,37.95,2,1,0.054,25.9,0,0.24,0
115,50,1,0,1,2,9,6,27.65,24.29,45.19,3,1,0.09,54.1,0,0.304,0
1309,26,1,0,3,2,12,6,37.93,15.07,21.16,1,1,0.206,24.3,0,0.232,0
159,45,1,0,3,2,7,8,160.91,52.55,12.63,2,1,0.223,32.2,0,0.109,0
959,40,1,0,2,2,9,6,132.7,19.03,13.14,3,1,0.297,43.8,0,0.106,0
155,29,1,0,2,1,11,5,432.69,28.37,4.18,3,1,0.173,10.9,0,0.143,0
1,63,1,0,1,2,6,4,407.9,139.85,27.34,2,1,0.077,47.6,0,0.113,0
5,41,1,0,3,1,2,5,626.92,95.35,20.65,1,1,0.179,76.3,0,0.295,0
282,31,1,0,4,1,8,3,757.07,210.68,44.95,2,1,0.013,30.2,0,0.055,0
482,38,1,0,2,1,6,8,283.47,124.57,7.39,3,1,0.077,41.3,1,0.27,0
42,28,1,0,1,1,5,5,1312.91,438.49,11.28,2,2,0.037,50.1,0,0.121,0
190,24,1,0,4,2,3,3,61.83,37.08,19.81,3,1,0.251,65.7,0,0.248,0
224,33,1,0,2,1,8,5,343.04,180.84,78.0,2,1,0.071,25.0,0,0.429,0
220,33,1,0,1,1,9,3,511.0,413.79,46.36,2,1,0.023,51.9,0,0.154,0
626,28,1,0,2,4,14,1,50.74,18.79,13.52,2,1,0.024,51.7,0,0.339,0
196,53,1,0,2,1,8,2,425.93,144.38,25.55,3,1,0.015,42.2,1,0.327,0
353,29,1,1,4,4,9,3,660.22,366.86,5.87,2,1,0.165,120.3,0,0.379,0
323,27,1,1,3,3,7,7,285.87,166.53,14.68,1,2,0.231,25.9,0,0.052,0
194,24,1,0,2,4,7,5,271.92,179.09,5.76,3,1,0.008,55.6,0,0.23,0
54,23,1,0,4,2,10,3,430.03,268.6,38.1,1,2,0.028,26.1,0,0.112,0
139,50,0,1,3,2,10,10,126.77,17.29,33.34,3,2,0.276,12.6,0,0.239,0
1,41,1,0,1,1,14,3,102.81,20.97,13.03,1,2,0.312,44.8,0,0.045,0
233,46,1,0,1,1,5,4,33.77,16.26,12.4,2,1,0.16,24.3,0,0.27,0
458,50,1,0,1,1,2,6,1707.31,396.0,16.67,1,2,0.238,36.9,0,0.416,0
384,34,1,0,4,2,5,3,93.45,60.62,9.82,1,2,0.179,97.0,0,0.338,0
839,56,1,0,1,2,5,5,348.78,190.58,15.09,3,2,0.005,31.1,0,0.088,0
330,30,1,0,4,3,10,4,709.67,401.55,37.18,3,1,0.032,26.6,0,0.019,0
116,25,1,0,1,4,9,4,486.93,110.98,10.97,2,1,0.242,9.5,1,0.105,0
105,42,1,0,4,1,8,3,779.65,433.69,22.75,4,1,0.315,18.7,0,0.143,0
522,40,1,0,2,3,5,6,604.71,117.44,9.11,1,1,0.389,33.8,0,0.218,0
47,40,1,0,1,2,8,3,558.58,402.25,13.45,2,1,0.115,29.1,1,0.501,0
42,50,1,0,1,3,10,5,1863.79,430.23,12.14,1,1,0.12,49.6,0,0.011,0
1277,39,1,0,1,2,9,8,98.62,28.12,29.03,1,1,0.503,39.2,0,0.051,0
270,42,0,0,2,1,7,6,167.07,50.32,8.21,4,1,0.249,55.0,0,0.398,0
255,54,0,1,1,2,9,3,291.3,163.25,48.08,2,1,0.123,8.7,0,0.364,0
406,41,1,0,1,2,3,5,125.69,69.8,13.34,1,2,0.084,27.5,0,0.354,0
929,44,1,0,1,1,5,3,203.6,24.92,13.31,3,1,0.21,51.0,0,0.219,0
722,21,1,0,3,3,7,5,403.47,83.26,15.58,3,3,0.112,10.0,0,0.278,0
267,83,0,0,2,4,9,2,134.87,46.12,13.47,2,1,0.107,134.6,0,0.231,0
531,19,1,0,2,3,7,7,183.3,32.98,15.39,4,1,0.126,30.3,0,0.359,0
271,32,1,0,1,3,11,5,218.66,138.06,43.58,2,1,0.337,14.5,0,0.3,0
903,31,1,0,3,2,8,8,75.0,44.65,52.67,1,1,0.14,37.2,0,0.081,0
448,63,1,0,2,2,8,8,267.43,108.85,7.21,3,1,0.185,84.4,0,0.12,0
370,31,1,0,2,1,7,4,510.23,97.05,98.73,3,1,0.042,19.9,0,0.119,0
387,43,1,0,1,1,9,3,102.25,65.92,29.11,3,1,0.254,112.8,0,0.083,0
54,31,1,0,2,1,11,3,1450.65,271.73,9.59,3,3,0.045,57.0,1,0.248,0
929,26,1,0,6,3,5,2,332.62,16.93,13.83,2,4,0.131,49.6,0,0.188,0
1212,45,1,0,3,3,11,3,322.63,99.7,5.31,1,1,0.157,31.4,0,0.06,0
81,29,0,0,1,3,6,2,1387.67,811.28,31.88,3,1,0.295,54.3,0,0.178,0
21,40,1,0,1,2,6,5,178.45,36.44,50.67,1,2,0.21,34.1,0,0.215,0
217,46,1,0,4,1,7,2,373.14,110.1,9.49,1,1,0.225,40.2,0,0.398,0
194,61,1,0,2,4,7,3,132.49,93.57,34.82,3,1,0.347,50.5,0,0.192,0
370,23,1,0,2,2,8,0,177.74,92.3,6.8,1,2,0.099,23.3,0,0.195,0
85,36,1,0,2,1,11,3,463.41,88.26,26.05,4,2,0.324,21.2,0,0.329,0
159,37,1,0,1,2,8,4,197.65,69.2,72.99,4,1,0.077,59.6,0,0.254,0
280,38,1,0,3,1,12,3,70.57,23.6,37.27,3,1,0.102,22.5,0,0.286,0
41,69,1,0,2,1,13,6,397.17,215.13,6.82,5,1,0.192,20.0,0,0.335,0
81,36,1,0,4,3,7,3,2185.53,1257.99,14.75,1,1,0.06,21.1,0,0.189,0
561,18,1,0,3,1,11,2,350.76,118.17,111.32,2,1,0.223,69.8,0,0.303,0
47,36,1,0,3,2,6,3,310.85,193.28,37.06,3,1,0.156,26.8,1,0.285,0
1230,37,1,0,2,1,14,3,56.79,15.49,75.4,2,1,0.542,19.7,0,0.212,0
438,35,1,0,3,1,8,3,2038.64,1215.47,15.52,2,1,0.131,30.8,0,0.421,0
796,29,1,0,2,2,10,1,19.28,6.8,67.3,2,1,0.102,32.6,1,0.121,0
77,22,1,1,1,1,8,3,415.79,202.5,6.52,1,1,0.093,67.2,0,0.029,0
163,64,1,0,2,2,8,2,332.06,95.09,31.16,3,1,0.075,33.8,1,0.361,0
669,42,1,0,5,1,9,3,1423.12,458.73,40.22,2,1,0.21,75.6,0,0.522,0
240,36,1,0,2,2,3,2,335.54,81.64,19.73,3,1,0.216,43.7,0,0.17,0
1615,64,1,0,2,1,9,0,648.94,181.27,21.34,4,2,0.314,20.6,0,0.134,0
531,28,1,1,1,2,11,5,17.68,6.14,25.06,3,1,0.072,57.0,0,0.221,0
1794,45,0,0,4,1,13,3,455.64,177.83,8.52,2,2,0.06,30.4,1,0.133,0
111,23,1,0,2,1,7,1,255.0,33.95,33.77,4,2,0.132,37.2,0,0.393,0
1092,47,0,0,4,1,9,2,163.33,141.53,75.55,3,3,0.077,6.5,0,0.359,0
62,24,1,0,1,1,6,1,458.05,196.95,16.6,3,1,0.172,112.7,0,0.108,0
718,44,0,0,1,2,7,5,338.92,135.48,32.94,1,1,0.087,23.4,0,0.077,0
345,61,1,0,3,3,10,6,587.86,43.28,27.85,2,2,0.185,17.7,0,0.203,0
11,39,1,0,5,2,9,5,411.31,200.86,30.11,2,1,0.306,67.1,0,0.181,0
6,18,1,0,4,4,13,1,264.17,10.65,23.18,3,1,0.014,33.9,0,0.041,0
500,38,1,0,3,2,9,4,63.93,32.03,11.52,3,1,0.024,18.2,0,0.192,0
95,44,0,0,2,2,13,2,1531.21,98.69,14.65,1,1,0.298,119.8,1,0.205,0
82,49,0,0,4,2,8,10,194.96,69.22,22.28,3,1,0.045,99.2,0,0.448,0
1145,56,1,0,4,1,12,1,82.77,68.46,18.79,2,2,0.626,52.7,0,0.303,0
61,56,1,0,3,2,9,9,39.27,20.7,26.27,4,1,0.297,48.3,0,0.069,0
219,36,1,0,1,1,3,3,240.71,120.86,21.94,2,1,0.029,25.1,0,0.305,0
141,30,1,0,3,2,11,3,123.07,49.39,15.59,1,1,0.049,81.1,0,0.361,0
656,25,1,0,2,2,8,2,1495.48,922.36,12.06,1,1,0.124,47.4,0,0.369,0
824,32,1,1,3,1,12,4,42.3,9.17,20.25,2,2,0.085,30.8,0,0.247,0
230,44,1,0,2,2,10,4,317.52,40.04,102.8,2,1,0.309,43.0,0,0.067,0
543,22,1,0,3,1,4,5,2471.54,1728.74,16.01,3,4,0.15,23.3,0,0.574,0
83,27,1,1,5,1,11,6,265.61,55.93,96.68,3,1,0.263,18.7,0,0.22,0
955,45,1,0,3,2,7,5,331.03,234.56,19.39,1,1,0.12,52.6,0,0.244,0
22,30,1,0,2,2,9,3,923.78,286.57,54.84,3,1,0.399,24.4,0,0.013,0
725,42,1,1,2,1,12,1,39.5,20.24,23.65,1,1,0.129,9.7,0,0.187,0
309,28,1,0,2,1,5,1,155.76,49.73,38.36,1,1,0.037,43.3,0,0.089,0
337,41,1,0,1,1,12,3,221.47,71.99,11.79,4,2,0.072,33.0,0,0.36,0
632,29,1,0,4,1,6,1,143.21,97.19,11.64,1,1,0.299,63.2,0,0.203,0
115,18,1,1,3,1,12,5,383.22,247.54,5.06,3,1,0.039,13.3,0,0.065,0
403,49,1,0,2,2,10,2,323.99,22.28,33.7,4,3,0.056,36.6,0,0.278,0
294,30,1,0,3,1,6,4,249.78,96.96,62.97,3,1,0.121,47.5,0,0.084,0
376,35,0,0,3,4,9,1,175.97,19.44,48.67,1,2,0.278,44.4,0,0.215,0
202,30,1,0,2,1,7,4,352.47,112.62,12.95,2,1,0.109,100.1,1,0.181,1
43,45,1,0,2,3,6,2,277.87,98.41,17.63,1,2,0.102,16.4,1,0.476,0
883,42,1,0,3,2,6,4,299.19,34.25,18.39,4,1,0.137,47.4,0,0.193,0
343,45,1,0,3,2,9,2,113.74,33.91,42.52,2,1,0.172,79.7,0,0.028,0
185,31,1,0,2,2,11,8,54.67,5.99,84.5,1,1,0.155,14.6,0,0.208,0
504,37,1,0,3,2,7,5,1130.37,350.13,13.72,1,1,0.03,46.1,0,0.271,0
90,43,1,0,2,2,6,3,141.3,49.62,38.75,1,1,0.034,13.1,0,0.357,0
1171,57,1,0,2,2,8,4,438.58,36.01,50.3,1,1,0.075,52.0,1,0.63,0
42,42,1,0,1,1,4,0,350.14,236.9,57.48,3,1,0.062,38.7,1,0.353,0
331,26,1,0,2,3,7,3,132.7,56.44,37.56,4,2,0.074,50.7,0,0.032,0
1214,41,1,0,3,1,1,8,486.9,125.47,15.66,5,1,0.068,31.4,0,0.141,0
1225,36,1,0,1,2,8,1,140.41,98.09,15.67,3,1,0.041,17.4,0,0.15,0
116,18,1,0,3,4,15,5,1499.76,815.09,61.28,3,1,0.055,57.0,0,0.257,0
24,18,1,0,2,2,10,7,685.17,275.23,40.79,1,1,0.16,53.5,1,0.137,0
217,37,1,0,4,4,10,6,750.25,370.4,27.12,3,1,0.028,92.5,1,0.047,0
83,38,0,0,4,1,6,5,291.49,16.63,22.38,2,1,0.08,41.8,0,0.427,0
243,34,1,0,3,4,10,5,74.28,31.95,10.86,3,2,0.216,49.8,0,0.324,0
92,49,1,0,2,2,6,3,501.81,110.1,6.75,3,2,0.106,32.3,1,0.267,0
14,27,1,0,1,2,9,4,201.95,93.06,22.71,3,1,0.376,64.2,0,0.197,0
118,21,1,0,2,2,7,7,426.92,289.09,12.2,1,1,0.131,41.6,0,0.395,0
1268,28,1,0,4,1,8,5,235.93,54.52,113.44,4,1,0.323,18.5,0,0.041,0
53,31,1,0,3,1,9,3,64.57,12.38,9.72,2,1,0.314,36.0,0,0.181,0
132,37,1,0,2,3,3,6,83.46,32.15,66.17,4,1,0.155,38.6,0,0.376,0
215,28,1,0,3,1,8,8,42.22,36.49,44.07,1,1,0.081,36.6,0,0.148,0
516,18,0,1,2,3,8,0,18.57,8.74,14.65,3,2,0.173,32.1,0,0.132,0
740,18,1,0,4,1,10,4,481.88,393.41,11.95,3,1,0.013,28.8,0,0.225,0
340,39,1,0,3,1,4,3,42.78,18.82,6.26,1,1,0.092,51.9,0,0.394,0
1202,24,1,0,2,3,13,2,368.34,239.76,39.32,2,1,0.078,35.8,0,0.296,0
93,18,0,0,2,1,6,3,900.49,554.34,18.13,2,1,0.034,20.8,0,0.126,0
814,45,1,0,3,1,6,4,661.55,324.17,19.08,4,1,0.261,68.3,0,0.209,0
245,57,1,0,4,2,6,7,34.9,15.14,170.57,2,1,0.322,36.2,0,0.237,0
537,37,1,0,2,1,6,3,227.86,146.38,32.48,3,1,0.14,56.7,0,0.145,0
50,41,1,0,2,1,8,3,404.25,192.71,20.43,3,1,0.13,57.8,0,0.532,0
324,41,1,0,2,1,8,6,46.83,3.33,14.07,4,1,0.211,34.1,0,0.041,0
425,18,1,0,1,1,9,2,302.13,92.39,12.02,2,1,0.114,34.6,0,0.212,0
606,49,1,0,3,1,8,3,204.6,23.5,19.24,2,2,0.15,31.0,0,0.388,0
2149,53,1,0,1,1,4,8,1426.01,350.65,9.93,2,2,0.319,55.4,0,0.404,0
1060,60,1,0,1,2,6,5,157.98,11.45,3.88,2,1,0.145,54.8,0,0.363,0
252,33,1,0,3,2,5,8,360.97,17.66,23.05,1,2,0.22,10.6,1,0.179,0
163,24,1,0,2,2,8,8,761.56,465.83,21.13,2,1,0.067,25.0,0,0.485,0
198,54,1,0,1,1,10,5,540.43,134.18,9.37,3,1,0.035,82.9,0,0.361,0
1445,44,0,0,4,2,11,5,603.64,212.74,2.94,3,1,0.091,68.2,0,0.254,0
95,48,1,0,2,2,5,5,1799.22,368.95,10.41,3,1,0.039,68.0,0,0.116,0
1638,30,1,0,3,1,12,4,187.82,122.56,17.1,3,1,0.062,55.8,0,0.178,0
541,41,1,1,4,2,8,4,188.45,114.23,13.21,1,1,0.185,49.4,0,0.369,0
182,25,1,0,2,2,4,8,1457.18,601.46,9.31,1,1,0.169,12.0,1,0.206,0
868,38,1,0,2,1,5,2,71.29,20.28,11.54,1,1,0.287,37.6,0,0.292,0
152,34,1,0,4,3,4,3,59.31,49.62,42.89,3,2,0.163,30.7,0,0.366,0
519,66,1,0,4,1,3,5,663.02,173.57,55.13,3,1,0.245,45.5,0,0.047,0
228,45,1,0,3,2,10,0,1297.0,439.64,17.36,2,1,0.025,19.3,0,0.153,0
297,18,1,0,2,3,7,4,1419.95,1195.87,8.47,1,1,0.176,6.6,0,0.224,0
566,38,1,0,3,3,7,2,441.02,44.77,150.45,5,1,0.193,44.9,0,0.198,0
427,42,1,0,1,2,6,10,917.23,501.89,7.1,2,1,0.221,28.1,0,0.225,0
8,32,1,0,3,2,8,4,221.88,20.74,11.75,1,1,0.132,57.8,0,0.437,0
197,25,1,0,1,3,9,4,611.64,354.01,38.38,2,1,0.034,63.0,0,0.29,0
271,46,1,0,2,2,8,4,281.68,240.34,5.01,3,3,0.052,47.9,0,0.114,0
83,26,1,0,4,2,7,0,901.74,484.37,8.71,3,1,0.113,45.3,0,0.425,0
426,45,1,0,2,2,7,3,44.79,29.56,40.37,2,2,0.199,55.6,0,0.274,0
226,25,0,0,2,2,13,3,592.2,160.17,57.44,3,1,0.169,67.6,0,0.172,0
520,32,1,0,2,2,8,6,263.25,42.22,14.72,2,3,0.016,45.7,0,0.287,0
2,49,1,0,2,3,10,2,1802.4,811.45,32.88,2,2,0.078,50.7,0,0.225,0
1173,44,1,0,1,2,6,6,260.28,59.46,34.1,3,1,0.23,31.8,0,0.322,0
128,38,1,0,2,5,5,6,233.06,82.52,75.97,6,2,0.409,65.0,0,0.093,0
209,38,1,0,3,1,9,1,497.55,54.68,10.48,1,1,0.092,53.1,0,0.092,0
223,39,1,0,3,1,4,7,136.62,75.12,5.38,2,1,0.026,35.1,0,0.054,0
125,29,1,1,2,1,9,1,499.71,173.11,77.59,4,2,0.077,55.1,0,0.332,0
223,20,1,0,1,3,10,2,1465.68,265.89,4.71,2,1,0.039,11.2,0,0.22,0
240,45,1,0,2,2,8,2,79.75,30.14,20.08,4,1,0.089,34.1,0,0.038,0
1,56,1,0,1,2,7,5,276.73,35.35,13.23,5,1,0.28,32.7,0,0.38,0
177,45,0,0,2,1,4,4,949.72,595.35,20.91,3,2,0.143,23.1,0,0.186,0
16,41,1,0,2,3,7,3,378.16,178.63,36.7,4,1,0.022,35.1,0,0.195,0
482,23,0,0,2,1,7,3,44.24,11.6,28.62,3,1,0.185,35.1,0,0.258,0
431,49,1,0,2,2,5,7,227.1,110.51,47.39,2,2,0.188,14.9,0,0.412,0
363,44,1,1,2,3,6,3,80.17,36.41,28.07,1,1,0.034,21.3,0,0.106,0
281,47,1,1,1,1,8,5,837.27,169.79,25.86,2,1,0.196,102.8,0,0.351,0
315,50,1,0,2,2,9,4,1239.8,532.64,13.95,5,1,0.031,29.5,0,0.261,0
902,57,1,0,4,5,8,3,274.75,104.92,23.16,4,1,0.008,58.9,1,0.48,1
94,25,1,0,2,3,11,3,370.58,179.35,47.32,2,1,0.03,42.3,0,0.164,0
352,23,1,1,1,3,11,4,185.86,22.1,13.0,2,1,0.004,72.8,0,0.379,0
1637,40,0,0,2,2,9,1,110.97,28.8,9.75,4,1,0.243,22.4,0,0.303,0
240,27,1,0,1,1,5,2,251.16,217.35,25.14,5,2,0.123,73.4,0,0.153,0
99,25,1,0,2,2,10,2,126.93,33.87,23.82,2,1,0.179,37.1,0,0.179,0
177,53,1,0,3,4,5,4,77.58,41.91,31.6,2,1,0.214,76.3,0,0.289,0
201,26,1,0,1,3,7,1,57.01,32.49,17.9,2,1,0.419,36.5,0,0.345,0
218,38,1,0,3,3,19,3,186.85,27.61,40.73,3,2,0.033,22.5,0,0.185,0
61,18,1,0,3,2,13,4,224.91,77.6,46.09,2,1,0.135,77.1,0,0.09,0
290,39,1,0,3,2,14,6,1908.4,979.09,8.96,3,1,0.16,81.3,0,0.11,0
439,52,1,0,4,2,11,3,133.77,41.68,35.95,2,1,0.25,36.1,0,0.668,0
46,53,1,0,1,4,6,4,235.82,115.99,3.95,2,1,0.071,42.4,1,0.293,0
82,51,1,0,6,3,9,0,673.89,571.15,12.36,3,1,0.258,61.5,0,0.131,0
180,37,1,0,1,1,7,3,151.63,69.72,15.94,2,1,0.02,33.1,0,0.541,0
420,51,1,0,1,2,8,3,375.03,98.17,8.07,3,2,0.146,26.9,0,0.769,0
93,43,1,0,1,2,10,5,365.26,201.21,102.22,3,1,0.043,79.1,0,0.262,0
176,33,1,0,2,1,12,1,89.15,75.74,7.05,1,2,0.036,16.6,0,0.342,0
651,43,0,0,2,2,4,5,743.39,397.53,7.64,2,2,0.05,75.4,0,0.285,0
1113,49,1,0,1,2,9,4,346.42,217.05,85.89,2,1,0.064,42.6,0,0.083,0
143,22,1,0,3,2,8,6,211.76,87.04,7.15,2,1,0.146,36.5,0,0.362,0
90,25,1,0,2,3,6,2,399.0,82.6,100.22,4,1,0.024,126.9,0,0.056,0
162,36,1,0,3,4,6,0,373.23,158.23,17.95,2,1,0.185,67.9,1,0.06,0
411,23,1,0,4,2,6,8,419.19,91.4,23.95,4,1,0.175,19.8,0,0.123,0
35,23,1,0,2,3,5,8,245.44,80.75,16.19,3,1,0.044,37.6,0,0.339,0
13,33,1,1,3,5,3,6,316.27,280.99,25.94,3,1,0.143,52.0,0,0.284,0
1596,50,0,0,3,2,5,6,883.73,316.21,7.51,3,1,0.079,59.7,0,0.462,0
23,50,1,0,1,1,8,4,85.41,39.51,11.4,5,1,0.277,88.0,0,0.115,1
369,42,1,0,2,3,9,4,2007.05,817.47,6.0,1,1,0.056,31.8,0,0.085,0
760,40,1,0,3,2,7,4,183.25,45.28,34.98,2,1,0.303,51.8,0,0.097,0
196,63,1,0,3,3,7,5,378.49,120.54,25.13,4,1,0.127,22.3,0,0.176,0
